Temps;EA4;Temps;theta;Temps;thetadeg
1053;-0.436820035451092;1053;0.146805217921997;1053;8.41131939742876
1056;-0.429252994712442;1056;0.144820864032685;1056;8.29762429451082
1059;-0.444891545572318;1059;0.148921862070597;1059;8.53259417387456
1062;-0.429757464095019;1062;0.144953154291973;1062;8.30520396803868
1065;-0.414118913235143;1065;0.140852156254062;1065;8.07023408867493
1068;-0.407560811261646;1068;0.139132382883325;1068;7.97169833281272
1071;-0.432279811007902;1071;0.14561460558841;1071;8.34310233567799
1074;-0.402011648053303;1074;0.137677190031163;1074;7.88832192400623
1077;-0.368716668803245;1077;0.12894603291819;1077;7.38806347116728
1.08;-0.423703831504099;1.08;0.143365671180523;1.08;8.21424788570433
1083;-0.385868627810851;1083;0.133443901733964;1083;7.64577237111462
1086;-0.386877566576004;1086;0.133708482252539;1086;7.66093171817034
1089;-0.366194321890362;1089;0.128284581621753;1089;7.35016510352797
1092;-0.401507178670727;1092;0.137544899771875;1092;7.88074225047836
1095;-0.364680913742632;1095;0.127887710843891;1095;7.32742608294438
1098;-0.324827832519077;1098;0.117436780360181;1098;6.72863187424322
1101;-0.339457444613799;1101;0.121273197879518;1101;6.94844240655124
1104;-0.341475322144106;1104;0.121802358916667;1104;6.97876110066269
1107;-0.361654097447172;1107;0.127093969288166;1107;7.28194804177721
1.11;-0.363167505594902;1.11;0.127490840066028;1.11;7.30468706236079
1113;-0.32735017943196;1113;0.118098231656619;1113;6.76653024188254
1116;-0.31826973054558;1116;0.115717006989444;1116;6.63009611838101
1119;-0.329872526344843;1119;0.118759682953056;1119;6.80442860952185
1122;-0.309693751041777;1122;0.113468072581558;1122;6.50124166840734
1125;-0.299604363390245;1125;0.110822267395808;1125;6.34964819785009
1128;-0.240076976246201;1128;0.0952120167998881;1128;5.45524672156228
1131;-0.277912179939449;1131;0.105133786246448;1131;6.02372223615198
1134;-0.279425588087179;1134;0.10553065702431;1134;6.04646125673558
1137;-0.287497098208405;1137;0.107647301172909;1137;6.16773603318138
1.14;-0.309693751041777;1.14;0.113468072581558;1.14;6.50124166840734
1143;-0.256219996488653;1143;0.0994453050970868;1143;5.69779627445389
1146;-0.224942894768901;1146;0.0912433090212643;1146;5.22785651572639
1149;-0.235032282420434;1149;0.0938891142070135;1149;5.37944998628365
1152;-0.208799874526449;1152;0.0870100207240656;1152;4.98530696283479
1155;-0.229483119212091;1155;0.0924339213548514;1155;5.29607357747716
1158;-0.202241772552952;1158;0.0852902473533286;1158;4.88677120697257
1161;-0.246635078219697;1161;0.0969317901706251;1161;5.55378247742449
1164;-0.212331160204485;1164;0.0879360525390778;1164;5.03836467752983
1167;-0.200223895022646;1167;0.0847610863161788;1167;4.85645251286112
1.17;-0.174495956511237;1.17;0.0780142830925184;1.17;4.46988916294012
1173;-0.176513834041543;1173;0.0785434441296682;1173;4.50020785705157
1176;-0.16793785453774;1176;0.0762945097217814;1176;4.3713534070779
1179;-0.156335058738478;1179;0.0732518337581698;1179;4.19702091593706
1182;-0.160370813799091;1182;0.0743101558324695;1182;4.25765830415996
1185;-0.151290364912711;1185;0.0719289311652952;1185;4.12122418065843
1188;-0.137669691583142;1188;0.0683570941645338;1188;3.91657299540614
1191;-0.147759079234675;1191;0.071002899350283;1191;4.06816646596339
1194;-0.124553487636149;1194;0.0649175474230599;1194;3.7195014836817
1197;-0.123040079488419;1197;0.0645206766451975;1197;3.69676246309811
1.2;-0.102861304185353;1.2;0.0592290662736991;1.2;3.3935755219836
1203;-0.0983210797421634;1203;0.058038453940112;1203;3.32535846023284
1206;-0.0907540390035138;1206;0.0560541000508001;1206;3.2116633573149
1209;-0.0211372642079368;1209;0.0377980442691307;1209;2.16566841046984
1212;-0.102861304185353;1212;0.0592290662736991;1212;3.3935755219836
1215;-0.0660350392572582;1215;0.0495718773457146;1215;2.84025935444962
1218;-0.0700707943178713;1218;0.0506301994200142;1218;2.90089674267252
1221;-0.0534233046928421;1221;0.0462646208635281;1221;2.65076751625305
1224;-0.0367758150678128;1224;0.0418990423070419;1224;2.40063828983358
1227;-0.0312266518594697;1227;0.0404438494548799;1227;2.31726188102709
1.23;-0.0534233046928421;1.23;0.0462646208635281;1.23;2.65076751625305
1233;-0.0171015091473237;1233;0.036739722194831;1233;2.10503102224693
1236;-0.00448977458290756;1236;0.0334324657126445;1236;1.91553918405036
1239;-0.0332445293897763;1239;0.0409730104920297;1239;2.34758057513854
1242;-0.016597039764747;1242;0.0366074319355435;1242;2.09745134871907
1245;0.0227515720762312;1245;0.0262887917111217;1245;1.50623681354577
1248;0.0303186128148809;1248;0.0243044378218098;1248;1.39254171062783
1251;0.0126621844246984;1251;0.0289345968968709;1251;1.65783028410303
